Date,AAPL_PX_LAST,SPX_PX_LAST
3/5/2015,121.54,2101.04
3/6/2015,121.7226,2071.26
3/9/2015,122.2418,2079.43
3/10/2015,119.7131,2044.16
3/11/2015,117.5306,2040.24
3/12/2015,119.6555,2065.95
3/13/2015,118.8286,2053.4
3/16/2015,120.1362,2081.19
3/17/2015,122.1457,2074.28
3/18/2015,123.5206,2099.5
3/19/2015,122.5832,2089.27
3/20/2015,121.0496,2108.1
3/23/2015,122.3091,2104.42
3/24/2015,121.8092,2091.5
3/25/2015,118.6267,2061.05
3/26/2015,119.4536,2056.15
3/27/2015,118.5017,2061.02
3/30/2015,121.5015,2086.24
3/31/2015,119.6362,2067.89
4/1/2015,119.4632,2059.69
4/2/2015,120.4919,2066.96
4/6/2015,122.4437,2080.62
4/7/2015,121.1554,2076.33
4/8/2015,120.7612,2081.9
4/9/2015,121.6842,2091.18
4/10/2015,122.2034,2102.06
4/13/2015,121.963,2092.43
4/14/2015,121.4342,2095.84
4/15/2015,121.8957,2106.63
4/16/2015,121.3092,2104.99
4/17/2015,119.9439,2081.18
4/20/2015,122.6841,2100.4
4/21/2015,122.0207,2097.29
4/22/2015,123.6648,2107.96
4/23/2015,124.6744,2112.93
4/24/2015,125.2609,2117.69
4/27/2015,127.5395,2108.92
4/28/2015,125.5301,2114.76
4/29/2015,123.684,2106.85
4/30/2015,120.3285,2085.51
5/1/2015,123.9821,2108.29
5/4/2015,123.7417,2114.49
5/5/2015,120.9535,2089.46
5/6/2015,120.1939,2080.15
5/7/2015,120.9373,2088
5/8/2015,123.2159,2116.1
5/11/2015,121.9607,2105.33
5/12/2015,121.5214,2099.12
5/13/2015,121.6614,2098.48
5/14/2015,124.5,2121.1
5/15/2015,124.3262,2122.73
5/18/2015,125.6972,2129.2
5/19/2015,125.5813,2127.83
5/20/2015,125.5717,2125.85
5/21/2015,126.8558,2130.82
